
"100.000000","0.000653","0.000002","0.001517",
"400.000000","0.000237","0.000001","0.000872",
"900.000000","0.000270","0.000000","0.000188",
"1600.000000","0.000354","0.000000","0.000147",
"2500.000000","0.000617","0.000000","0.000300",
"3600.000000","0.000427","0.000001","0.000788",
"4900.000000","0.000267","0.000000","0.000447",
"6400.000000","0.000326","0.000001","0.000767",
"8100.000000","0.000320","0.000000","0.000625",
"10000.000000","0.000358","0.000001","0.000772",
"40000.000000","0.000656","0.000002","0.001375",
"90000.000000","0.000927","0.000001","0.000970",
"160000.000000","0.001155","0.000002","0.001349",
"250000.000000","0.001478","0.000001","0.000788",
"360000.000000","0.001562","0.000000","0.000539",
"490000.000000","0.001997","0.000003","0.001581",
"640000.000000","0.001472","0.000003","0.001685",
"810000.000000","0.001609","0.000003","0.001742",
"1000000.000000","0.001556","0.000000","0.000102",
"4000000.000000","0.003291","0.000003","0.001677",
"9000000.000000","0.004761","0.000003","0.001644",
"16000000.000000","0.006856","0.000004","0.001990",
