
"100.000000","0.001637","0.000008","0.002874",
"400.000000","0.002995","0.000000","0.000553",
"900.000000","0.003001","0.000052","0.007218",
"1600.000000","0.000762","0.000000","0.000008",
"2500.000000","0.001092","0.000000","0.000661",
"3600.000000","0.001529","0.000000","0.000489",
"4900.000000","0.001942","0.000000","0.000395",
"6400.000000","0.003172","0.000000","0.000698",
"8100.000000","0.003148","0.000001","0.000788",
"10000.000000","0.003954","0.000001","0.000981",
"40000.000000","0.016113","0.000006","0.002473",
"90000.000000","0.033939","0.000009","0.002941",
"160000.000000","0.059509","0.000027","0.005182",
"250000.000000","0.094797","0.000109","0.010447",
"360000.000000","0.129511","0.000077","0.008777",
"490000.000000","0.175373","0.000132","0.011485",
"640000.000000","0.229431","0.000214","0.014633",
"810000.000000","0.290714","0.000349","0.018691",
"1000000.000000","0.358676","0.000479","0.021883",
"4000000.000000","1.498319","0.005742","0.075778",
"9000000.000000","3.572687","0.041094","0.202716",
"16000000.000000","6.093802","0.043040","0.207462",
